labid,lowtag,study area,location,lat,long,age.at.col1,th.age,sex,weight,body_condition,pregnancy,collar1,collar1.on,collar1.off,reason.off1,collar2,collar2.on,collar2.off,reason.off2,collar3,collar3.on,collar3.off,reason.off3,mort.date,cwd.test,cwd.result,lab_result_bpv,titer_value,log2,log10,ehdv_result,lb,lb_titer,lc,lc_titer,lg,lg_titer,lh,lh_titer,li,li_titer,lp,lp_titer,exposure_multi,home_range_95_kud_km2,home_range_50_kud_km2,mean_daily_dist_km,prop_habitat_agri,prop_habitat_forest,prop_habitat_wetland,crop_forest_ratio,edge_density,mean_odba,prop_time_resting,prop_time_active,crepuscularity_index,mean_resting_bout_duration_hrs,daily_resting_bout_frequency,fate,mortality_date,mortality_cause 
69,5663,,,,,8mo,NA,Male,,,,25007,2/18/19,10/5/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,10/30/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
70,5681,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
71,5827,,,,,8mo,NA,Male,,,,24929,1/23/19,10/27/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/27/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
72,6037,,,,,8mo,NA,Male,,,,29575,3/8/19,11/7/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/7/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
73,5179,,,,,>2yrs,NA,Female,,,,80620,3/6/19,6/28/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/28/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
74,5563,,,,,>2yrs,2,Female,,,,82023,2/19/19,10/11/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/11/22,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
75,5581,,,,,20mo,2,Male,,,,29564,3/7/19,10/15/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
76,5647,,,,,8mo,NA,Male,,,,29427,3/3/19,3/25/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/21/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
77,5667,,,,,>2yrs,NA,Female,,,,81999,1/11/19,1/22/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/22/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
78,5683,,,,,8mo,NA,Female,,,,82012,3/8/19,7/22/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,10/10/21,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
